"ID user ";"Length of proﬁle name";"Length of proﬁle description";"Number of tweets posted";"Age of the user account, in days";"Ratio of number of followings and followers";"Number of following";"Number of followers";"Frequence of tweets posted per day";"hashtags average";"mentions average";"links average";"Likes average per tweet"
"4882614087";"9";"32";"3";"20";"13,0";"79";"1034";"3,0";"0,0";"1,0";"0,0";"0,0"
"1221618834";"9";"17";"1";"20";"2,0";"24684";"53386";"1,0";"0,0";"1,0";"0,0";"0,0"
"800729988861308900";"9";"0";"1";"20";"0,0";"1";"0";"1,0";"1,0";"0,0";"1,0";"0,0"
"516770443";"15";"35";"7";"20";"1,0";"546";"996";"7,0";"1,0";"1,0";"0,0";"0,0"
"3240271222";"14";"0";"1";"20";"1,0";"16160";"28716";"1,0";"0,0";"1,0";"0,0";"0,0"
"717537008994885600";"7";"0";"1";"20";"0,0";"32";"5";"1,0";"1,0";"0,0";"1,0";"0,0"
"3374601598";"14";"0";"71";"20";"2,0";"72";"182";"71,0";"0,0";"0,0";"0,0";"0,0"
"2221135929";"8";"95";"17";"20";"0,0";"269";"89";"17,0";"0,0";"0,0";"0,0";"0,0"
"830122709036232700";"9";"22";"1";"20";"0,0";"205";"35";"1,0";"1,0";"3,0";"0,0";"0,0"
"2914615780";"11";"109";"3";"20";"0,0";"393";"170";"3,0";"2,0";"2,0";"0,0";"0,0"
"778786879428759600";"14";"0";"2";"20";"0,0";"47";"36";"2,0";"0,0";"1,0";"0,0";"0,0"
"3472196241";"13";"92";"3";"20";"1,0";"588";"885";"3,0";"1,0";"0,0";"0,0";"0,0"
"834130000844578800";"9";"10";"73";"20";"0,0";"79";"38";"73,0";"0,0";"1,0";"1,0";"0,0"
"3131258571";"7";"12";"3";"20";"1,0";"180";"264";"3,0";"0,0";"1,0";"0,0";"0,0"
"1034668482";"13";"46";"15";"20";"0,0";"285";"245";"15,0";"0,0";"2,0";"0,0";"0,0"
"84291948";"9";"79";"1";"20";"1,0";"862";"1143";"1,0";"0,0";"0,0";"1,0";"0,0"
"1061937979";"14";"30";"1";"20";"1,0";"245";"259";"1,0";"0,0";"1,0";"0,0";"0,0"
"3688957840";"12";"26";"7";"20";"0,0";"92";"70";"7,0";"0,0";"2,0";"0,0";"0,0"
"3010467591";"11";"0";"15";"20";"0,0";"40";"4";"15,0";"1,0";"0,0";"1,0";"0,0"
"701379918";"11";"0";"7";"20";"0,0";"14";"5";"7,0";"1,0";"0,0";"1,0";"0,0"
"252640141";"9";"24";"3";"20";"2,0";"140";"369";"3,0";"0,0";"1,0";"1,0";"0,0"
"4274606668";"6";"25";"3";"20";"1,0";"277";"316";"3,0";"0,0";"1,0";"0,0";"0,0"
"62031674";"14";"150";"3";"20";"3,0";"2020";"6233";"3,0";"0,0";"0,0";"1,0";"0,0"
"1054917224";"7";"0";"1";"20";"0,0";"127";"28";"1,0";"0,0";"1,0";"0,0";"0,0"
"838344957761110000";"14";"0";"1";"20";"0,0";"41";"7";"1,0";"0,0";"2,0";"1,0";"0,0"
"3089534120";"8";"73";"4";"20";"0,0";"255";"144";"4,0";"0,0";"2,0";"0,0";"0,0"
"83941775";"10";"132";"79";"20";"4,0";"998";"4503";"79,0";"0,0";"2,0";"1,0";"0,0"
"2780389672";"11";"5";"1";"20";"0,0";"305";"143";"1,0";"0,0";"2,0";"0,0";"0,0"
"794531021802840000";"14";"89";"1";"20";"0,0";"4085";"2478";"1,0";"0,0";"1,0";"0,0";"0,0"
"3124231845";"7";"18";"3";"20";"1,0";"537";"723";"3,0";"0,0";"1,0";"1,0";"0,0"
"714458317251350500";"13";"79";"77";"20";"1,0";"227";"269";"77,0";"0,0";"1,0";"0,0";"0,0"
"40963816";"9";"95";"3";"20";"0,0";"440";"294";"3,0";"0,0";"0,0";"0,0";"0,0"
"3329415915";"9";"96";"2";"20";"1,0";"2483";"2583";"2,0";"0,0";"0,0";"1,0";"0,0"
"1952350405";"8";"88";"8";"20";"5,0";"175";"947";"8,0";"0,0";"0,0";"0,0";"0,0"
"731134730889011200";"15";"159";"3";"20";"3,0";"509";"1873";"3,0";"0,0";"1,0";"0,0";"0,0"
"2212407109";"15";"78";"15";"20";"0,0";"42";"11";"15,0";"1,0";"0,0";"1,0";"0,0"
"858766622328336400";"13";"11";"3";"20";"0,0";"378";"261";"3,0";"1,0";"1,0";"0,0";"0,0"
"497031485";"13";"90";"4";"20";"0,0";"199";"77";"4,0";"0,0";"0,0";"0,0";"0,0"
"3392317101";"8";"48";"1";"20";"2,0";"373";"780";"1,0";"0,0";"1,0";"0,0";"0,0"
"839518926111453200";"10";"9";"12";"20";"1,0";"207";"235";"12,0";"0,0";"0,0";"1,0";"0,0"
"841371941487415300";"8";"120";"73";"20";"0,0";"72";"56";"73,0";"0,0";"1,0";"0,0";"0,0"
"4548371369";"13";"24";"3";"20";"1,0";"178";"222";"3,0";"0,0";"1,0";"1,0";"0,0"
"1034451229";"9";"66";"1";"20";"0,0";"712";"258";"1,0";"0,0";"1,0";"0,0";"0,0"
"838467892614205400";"9";"68";"1";"20";"0,0";"153";"118";"1,0";"0,0";"0,0";"0,0";"0,0"
"837334924139069400";"9";"31";"81";"20";"1,0";"144";"226";"81,0";"0,0";"0,0";"0,0";"0,0"
"554485198";"12";"101";"3";"20";"1,0";"20182";"30223";"3,0";"1,0";"1,0";"0,0";"0,0"
"338262255";"7";"158";"2";"20";"5,0";"26420";"134367";"2,0";"0,0";"1,0";"0,0";"0,0"
"818453510";"14";"0";"3";"20";"1,0";"203";"332";"3,0";"0,0";"1,0";"1,0";"0,0"
"847524408214409200";"11";"0";"1";"20";"0,0";"2";"0";"1,0";"0,0";"1,0";"0,0";"0,0"
"364984594";"11";"69";"3";"20";"8,0";"210";"1866";"3,0";"0,0";"1,0";"0,0";"0,0"
"738799986306125800";"12";"65";"5";"20";"0,0";"420";"401";"5,0";"0,0";"1,0";"1,0";"0,0"
"2742683566";"15";"23";"3";"20";"12,0";"61";"771";"3,0";"0,0";"0,0";"0,0";"0,0"
"712332317377863700";"12";"20";"3";"20";"0,0";"278";"203";"3,0";"0,0";"1,0";"1,0";"0,0"
"2440013238";"8";"20";"3";"20";"3,0";"52";"182";"3,0";"0,0";"1,0";"1,0";"0,0"
"42960469";"13";"50";"7";"20";"0,0";"2195";"628";"7,0";"0,0";"0,0";"1,0";"0,0"
"2513395989";"9";"55";"1";"20";"1,0";"130";"239";"1,0";"1,0";"1,0";"0,0";"0,0"
"110971457";"13";"108";"1";"20";"0,0";"588";"363";"1,0";"0,0";"1,0";"1,0";"0,0"
"462755656";"9";"130";"4";"20";"0,0";"339";"117";"4,0";"0,0";"0,0";"0,0";"0,0"
"621511125";"13";"0";"2";"20";"0,0";"307";"87";"2,0";"0,0";"1,0";"0,0";"0,0"
"272813219";"7";"0";"3";"20";"0,0";"145";"97";"3,0";"0,0";"2,0";"1,0";"0,0"
"2790187690";"7";"26";"2";"20";"3,0";"563";"1739";"2,0";"0,0";"1,0";"1,0";"0,0"
